date,region,type,first_dose,second_dose
2020-12-23,,Pfizer/BioNTech,0,0
2020-12-23,,Moderna,0,0
2020-12-23,,AstraZeneca/Oxford,0,0
2020-12-23,Flanders,,0,0
2020-12-23,Flanders,Pfizer/BioNTech,1,0
2020-12-23,Flanders,Moderna,0,0
2020-12-23,Flanders,AstraZeneca/Oxford,0,0
2020-12-23,Wallonia,,0,0
2020-12-23,Wallonia,Pfizer/BioNTech,0,0
2020-12-23,Wallonia,Moderna,0,0
2020-12-23,Wallonia,AstraZeneca/Oxford,0,0
2020-12-23,Brussels,,0,0
2020-12-23,Brussels,Pfizer/BioNTech,0,0
2020-12-23,Brussels,Moderna,0,0
2020-12-23,Brussels,AstraZeneca/Oxford,0,0
2020-12-23,Ostbelgien,,0,0
2020-12-23,Ostbelgien,Pfizer/BioNTech,0,0
2020-12-23,Ostbelgien,Moderna,0,0
2020-12-23,Ostbelgien,AstraZeneca/Oxford,0,0
2020-12-24,,Pfizer/BioNTech,0,0
2020-12-24,,Moderna,0,0
2020-12-24,,AstraZeneca/Oxford,0,0
2020-12-24,Flanders,,0,0
2020-12-24,Flanders,Pfizer/BioNTech,0,0
2020-12-24,Flanders,Moderna,0,0
2020-12-24,Flanders,AstraZeneca/Oxford,0,0
2020-12-24,Wallonia,,0,0
2020-12-24,Wallonia,Pfizer/BioNTech,0,0
2020-12-24,Wallonia,Moderna,0,0
2020-12-24,Wallonia,AstraZeneca/Oxford,0,0
2020-12-24,Brussels,,0,0
2020-12-24,Brussels,Pfizer/BioNTech,0,0
2020-12-24,Brussels,Moderna,0,0
2020-12-24,Brussels,AstraZeneca/Oxford,0,0
2020-12-24,Ostbelgien,,0,0
2020-12-24,Ostbelgien,Pfizer/BioNTech,0,0
2020-12-24,Ostbelgien,Moderna,0,0
2020-12-24,Ostbelgien,AstraZeneca/Oxford,0,0
2020-12-25,,Pfizer/BioNTech,0,0
2020-12-25,,Moderna,0,0
2020-12-25,,AstraZeneca/Oxford,0,0
2020-12-25,Flanders,,0,0
2020-12-25,Flanders,Pfizer/BioNTech,0,0
2020-12-25,Flanders,Moderna,0,0
2020-12-25,Flanders,AstraZeneca/Oxford,0,0
2020-12-25,Wallonia,,0,0
2020-12-25,Wallonia,Pfizer/BioNTech,0,0
2020-12-25,Wallonia,Moderna,0,0
2020-12-25,Wallonia,AstraZeneca/Oxford,0,0
2020-12-25,Brussels,,0,0
2020-12-25,Brussels,Pfizer/BioNTech,0,0
2020-12-25,Brussels,Moderna,0,0
2020-12-25,Brussels,AstraZeneca/Oxford,0,0
2020-12-25,Ostbelgien,,0,0
2020-12-25,Ostbelgien,Pfizer/BioNTech,0,0
2020-12-25,Ostbelgien,Moderna,0,0
2020-12-25,Ostbelgien,AstraZeneca/Oxford,0,0
2020-12-26,,Pfizer/BioNTech,0,0
2020-12-26,,Moderna,0,0
2020-12-26,,AstraZeneca/Oxford,0,0
2020-12-26,Flanders,,0,0
2020-12-26,Flanders,Pfizer/BioNTech,0,0
2020-12-26,Flanders,Moderna,0,0
2020-12-26,Flanders,AstraZeneca/Oxford,0,0
2020-12-26,Wallonia,,0,0
2020-12-26,Wallonia,Pfizer/BioNTech,0,0
2020-12-26,Wallonia,Moderna,0,0
2020-12-26,Wallonia,AstraZeneca/Oxford,0,0
2020-12-26,Brussels,,0,0
2020-12-26,Brussels,Pfizer/BioNTech,0,0
2020-12-26,Brussels,Moderna,0,0
2020-12-26,Brussels,AstraZeneca/Oxford,0,0
2020-12-26,Ostbelgien,,0,0
2020-12-26,Ostbelgien,Pfizer/BioNTech,0,0
2020-12-26,Ostbelgien,Moderna,0,0
2020-12-26,Ostbelgien,AstraZeneca/Oxford,0,0
2020-12-27,,Pfizer/BioNTech,0,0
2020-12-27,,Moderna,0,0
2020-12-27,,AstraZeneca/Oxford,0,0
2020-12-27,Flanders,,0,0
